order_id,client_ref,element_count,scale_factor,status,settled_batch,merkle_root,created_at
f9a851a9,Mobile_Field_Intake_01,300000,2.0,COMPLETED,2650,a170f07ddc499188ebd2900ef2458fcf0ad8e9f1cc13777eee684ff9aa20aab9,2026-08-22T07:01:21.380024
02d97636,Mobile_Field_Intake_01,300000,2.0,COMPLETED,2650,7a1c667882ae491240275ba98438f92bce0de4c09d033256a6567838f9c78896,2026-08-22T07:07:44.153754
980715c8,Mobile_Field_Intake_01,300000,2.0,COMPLETED,2650,51b7450779ddb21452ca026e82f02ef33dd6299c5e178bbe5f1d47e3ead66d6e,2026-08-22T07:11:02.288793
ed8fac03,Raytheon_EW_Telemetry,749223,3.78,COMPLETED,2650,3bb0bedbd51c48ff156ffd1d366817b0d3beacc67e7121c78833620be51832e2,2026-08-22T07:13:35.118113
d07d2246,DARPA_Edge_Intake,237694,3.7,COMPLETED,2650,3d1b747968a709a93d67cec20f8e79a60ab182a958307ad59ba00cc241113d2e,2026-08-22T07:13:38.220979
a12832a2,Lockheed_Aero_Div,223995,3.21,COMPLETED,2650,57815dd3b13ce710bd42c819b05e60a876ca26c1650725d652831938d2568ba9,2026-08-22T07:13:41.093003
49796fd1,GeneralDynamics_Mesh,749733,1.39,COMPLETED,2650,e7a5bcb7f3c7fd1dfd60d051ab0e65bf98b4cad9f8b125495a7a64291169ce04,2026-08-22T07:13:44.395457
bf13ec5e,Raytheon_EW_Telemetry,308467,2.25,COMPLETED,2650,524cfdb83211249c6ad118b1c5fb95d98f394acb14c8678b35da0b490aebc015,2026-08-22T07:13:49.759036
a45e9924,DARPA_Edge_Intake,398159,1.79,COMPLETED,2650,5240b5f2d0599a6befc546e1334040574203b4db780e92192c0ecf0b7c4af61d,2026-08-22T07:13:53.627351
36db8c01,GeneralDynamics_Mesh,531313,3.36,COMPLETED,2650,21732c3bdc7d1029240320f29632f6b5f04116477d5f34c09e166a55ff2bc24d,2026-08-22T07:13:58.485612
ee5657a8,GeneralDynamics_Mesh,674780,2.8,COMPLETED,2650,0293c0c4f31d8f9bf9bb32161f27d4b5ce0d5488f9100f58f0150925d51c0fac,2026-08-22T07:14:03.086334
9cf5cbb6,GeneralDynamics_Mesh,294675,2.82,COMPLETED,2650,a1a434025c7ad2e9c7e7d288c2f5a1d5710791b14f5198241031a25bc427ad4c,2026-08-22T07:14:07.258333
a0aae974,Raytheon_EW_Telemetry,720133,1.75,COMPLETED,2650,9333448ff5b216a3ff38959091db0840730bcc0799f54b50d833683f01f555a7,2026-08-22T07:14:11.424559
11d5b949,GeneralDynamics_Mesh,523510,3.63,COMPLETED,2650,6a3b4bc7dcbffe8c7264da44bd4f9827a26895d8720891e0a6652680fa1c6767,2026-08-22T07:14:17.251428
5fe95d42,Lockheed_Aero_Div,401528,2.44,COMPLETED,2650,dcb8576a2c9d438da4e54579bf57e3c0502b1a168905e565989c3ba87c09a647,2026-08-22T07:14:19.876558
654b924c,Lockheed_Aero_Div,564953,2.8,COMPLETED,2650,049519126e3d41e03547873e6236d8936ef00b9622d6b3da2d889e81e3cacdb5,2026-08-22T07:14:23.638062
725bf6e4,Raytheon_EW_Telemetry,709098,2.03,COMPLETED,2650,73e03ed62634def5307f44e72211c469fcae804fedf3c73b9c525132924a0f3c,2026-08-22T07:14:27.525253
19640b43,Northrop_Sensor_Stream,221442,3.77,COMPLETED,2650,5568d8c6b0f0efc089d5726ab3e012e3ceda448f15d87269e716c3d7f07bd9c6,2026-08-22T07:14:32.821041
f5ce6f5e,GeneralDynamics_Mesh,523236,2.2,COMPLETED,2650,80c6da16fb5180825246ebbbd3156c285bcec56a119c5b1871f3311c7ab368e1,2026-08-22T07:14:37.767340
632f1a9d,Northrop_Sensor_Stream,357586,2.68,COMPLETED,2650,14663c114af44dceaf773f1f1585d7a86a74fdeaace22644aaa9126897dc8404,2026-08-22T07:14:40.341521
88a4b067,Northrop_Sensor_Stream,706964,2.92,COMPLETED,2650,c94a3cf68877e432b893a55698ed67bb069924939016ff79513830a7b8a2986e,2026-08-22T07:14:44.748088
10f66586,Raytheon_EW_Telemetry,193329,2.17,COMPLETED,2650,a163b0179a9ba9e3cd03684c214163cf571ccb3c5c68b0785c4b4e4294ac95d1,2026-08-22T07:15:29.619193
567d3ed2,Lockheed_Aero_Div,164688,3.56,COMPLETED,2650,9d5f78ace1fcd31b77f956ed58d04f088ffd6f0cdf54d2c821bd2659d4516c1b,2026-08-22T07:15:35.550409
963b6018,Northrop_Sensor_Stream,401440,1.43,COMPLETED,2650,3a810cce7f354f0317fcfb6baa1500bfdba679e8a74fe97ff15878e088920a1b,2026-08-22T07:15:40.229181
23d6b829,DARPA_Edge_Intake,496815,2.28,COMPLETED,2650,872300b795292dcb29700cdad5844c77cd86fe946c901d61ca33e2d6a298cbc6,2026-08-22T07:15:45.837331
2640748e,Raytheon_EW_Telemetry,242943,2.64,COMPLETED,2650,6d34a310919f6d08eebfb2e9e8608655c1dea0c8da92ad59cd0a7df309a0e450,2026-08-22T07:15:51.550295
6372f15b,Northrop_Sensor_Stream,660283,2.54,COMPLETED,2650,79cea7e07da08b6d9cdf6dd6f39c84a3281fd017bfd27339789c10a67d2a453c,2026-08-22T07:15:56.478400
0a8cbaba,Lockheed_Aero_Div,366595,1.63,COMPLETED,2650,4f7d69a55f98ccfe9898bbb3009b79395ca028a2d9517e2e3605708a9978c7cd,2026-08-22T07:16:00.112312
14a0438e,GeneralDynamics_Mesh,574471,2.57,COMPLETED,2650,3ab205ad4f02912a6e30e5d11cc03699ee54f01885a6102cd79df70803b872ac,2026-08-22T07:16:04.166089
73ab070d,Lockheed_Aero_Div,414323,2.83,COMPLETED,2650,69eef7f61c4e48bf70311752f30a17391a18d4fc555908c62310e9f02950c74f,2026-08-22T07:16:08.240987
25bc31ec,Lockheed_Aero_Div,394490,3.02,COMPLETED,2650,e4fa8699be6ddab29b7d6fc5fc814d8e6847f6c21dc7422aec2acded41e24edc,2026-08-22T07:16:12.001150
43a2adc4,DARPA_Edge_Intake,328419,1.46,COMPLETED,2650,9a316cc6777fc377e61507dac7d7af7fb075ed88bc6dbfd1913e6ad5b15e4711,2026-08-22T07:16:17.921025
9ac68d60,DARPA_Edge_Intake,507787,2.23,COMPLETED,2650,ae905a64ded89726a9533dae6db43db78660b92c2635a755bbe6da9461034026,2026-08-22T07:16:23.181305
2ce115e1,DARPA_Edge_Intake,468588,1.66,COMPLETED,2650,e81e39b2c05fdbde96426d078919bb058512725dd713cc5c7f36462ffe38cf3a,2026-08-22T07:16:28.280740
7ddd89c6,GeneralDynamics_Mesh,396875,3.77,COMPLETED,2650,83da28b851177f5aea929e32e7b808076ec3c13e1c86e787da03b7c48e418c6d,2026-08-22T07:16:33.989645
8a9425e2,Northrop_Sensor_Stream,409723,1.83,COMPLETED,2650,171c1f6ee30ded839f83723d90d5384fb6dbd871a8d7693e4b0d306a689009f3,2026-08-22T07:16:38.237512
1be620eb,GeneralDynamics_Mesh,290581,2.02,COMPLETED,2650,a205fb93889ba498d36a59367fb03d2d29a8338dde97a10e22929a844b48b143,2026-08-22T07:16:42.291804
ff494a27,GeneralDynamics_Mesh,571498,2.8,COMPLETED,2650,01a1c66ea26bedd298c839721ae1e37f7c4d35af9c8c4b8c009c711728a9da9a,2026-08-22T07:16:48.210300
123b41e4,Raytheon_EW_Telemetry,248288,2.97,COMPLETED,2650,41f73dac685c9c0d7c4ba347241285418b9b6b7c9fa19090de6882fee0573a63,2026-08-22T07:16:52.219920
b481f650,Raytheon_EW_Telemetry,265963,3.12,COMPLETED,2650,70cd8a2850749ef8248cee3e5572e89f67db5c86699eaf7dce14cf9b22b56893,2026-08-22T07:16:55.859309
8797ffbb,DARPA_Edge_Intake,712005,3.62,COMPLETED,2650,0c416e686213ffe8f9cce48eb2aa98d9ef032783760da102e1645b5ecc0acc15,2026-08-22T07:17:00.378333
3263753c,Northrop_Sensor_Stream,403210,3.14,COMPLETED,2650,211b95a2cfd10c29162fe2b39cdd4295b8c878e90e3a5aef67a6952a3f9892f1,2026-08-22T07:17:03.258476
b5cc59b1,GeneralDynamics_Mesh,460279,2.34,COMPLETED,2650,abc7993f0d6c5ce1b7d711bf06aa1b6c50a8c0bea6619f495766b98743ddfe10,2026-08-22T07:17:07.680889
c2d71cfe,DARPA_Edge_Intake,443233,2.17,COMPLETED,2650,c90c5b450687a5864359a24224294df256d071ad73984c83900dc5ecce491875,2026-08-22T07:17:13.427618
9820a11c,Northrop_Sensor_Stream,234476,2.43,COMPLETED,2650,1693a9290c46be4e1c7d39c726f96b1c29136451cfca24b1aed1445b272a62f6,2026-08-22T07:17:19.086371
98ecfaa9,Lockheed_Aero_Div,490123,1.27,COMPLETED,2650,40e00b4b1ef0e07cb981f030e1f82dc8e0911dad5365c6a2c61a0fe512c44231,2026-08-22T07:17:24.348635
3cc6cf50,DARPA_Edge_Intake,599700,1.93,COMPLETED,2650,e7e154aaf3c686247750d0f46af57722d0eb34c3280abef9c28bc0a9f7c1b06e,2026-08-22T07:17:29.076165
d008b9c0,Northrop_Sensor_Stream,615942,2.2,COMPLETED,2650,e01c49459ac47f30297466339f6a106fbddc3e0fc5d0333035e138826df9dc7a,2026-08-22T07:17:32.151576
31de3db6,DARPA_Edge_Intake,192557,3.22,COMPLETED,2650,64856530694c6b62bb1394cc77b185b69555b984779f115d9079cbc4902509c2,2026-08-22T07:17:35.255738
b145bd72,Raytheon_EW_Telemetry,525357,3.52,COMPLETED,2650,4ca7a9af1aab211cc333a2cbb15dc35e30f9d3c04a0f26a9e8f749c8d39672e7,2026-08-22T07:17:39.092712
11b357ce,DARPA_Edge_Intake,381104,3.29,COMPLETED,2650,fdda47bd3eacedcfb0cf0bb4ebaaa2381d95594e660cd31b6a00964466ba8f75,2026-08-22T07:17:43.675301
a4e3a635,Raytheon_EW_Telemetry,197849,2.34,COMPLETED,2650,915d5427787d5a8fe6191e44c01d7bd03c7f22cb68d18ef66fda4f76fa0e695a,2026-08-22T07:17:49.294190
031280a7,Lockheed_Aero_Div,699473,2.23,COMPLETED,2650,6e01e02ae2f81d1a4d127668fb02e62f0dd6c631a0a06fe86cf5f804d497e57a,2026-08-22T07:17:53.403130
a06e5ba5,Raytheon_EW_Telemetry,644368,2.99,COMPLETED,2650,7f3bc008e0e31b9779a57af5799dffec67e4af2589af1062415d2330ddfa3d14,2026-08-22T07:17:56.218827
e54cdf7d,DARPA_Edge_Intake,480267,3.34,COMPLETED,2650,d89cd9132bfa5fcf07cfcaaa9909910c139d9d41f526980a88cfb762b2884cc9,2026-08-22T07:17:59.327607
e5d51d44,Northrop_Sensor_Stream,709668,1.88,COMPLETED,2650,2ef6d415fdb1b67897f720b427b7d173121a96534c5076c7b2ba2ceabedc9878,2026-08-22T07:18:03.450673
705818da,DARPA_Edge_Intake,250416,2.07,COMPLETED,2650,7e33d950f9010bbc93c18e40a42e571f8deaa70f223a3e5d40bdd826c9c6e62d,2026-08-22T07:18:08.641051
e44c8128,Lockheed_Aero_Div,345950,2.07,COMPLETED,2650,8c5fa03c01f244afc6e88de791de0fe5ed35bdbf35f47012f5d10042b134999e,2026-08-22T07:18:13.261487
a78250e7,DARPA_Edge_Intake,301770,2.64,COMPLETED,2650,e5f3575794b4f4763b4f218f462e76364f3cec60990d10e2e79b0507115fb736,2026-08-22T07:18:18.552859
eb610516,Northrop_Sensor_Stream,331138,1.87,COMPLETED,2650,a1fa77345a236534de0cf4f7b4114bca3f92de4e2602117eee9f6d9759fc2b57,2026-08-22T07:18:21.861635
61700358,Raytheon_EW_Telemetry,260658,2.34,COMPLETED,2650,e7ebcaa2663c79e7db1929394c0207afbb4e91f1ea26b72453c7f8c2bd439e71,2026-08-22T07:18:26.913563
